hid,region,hospital1,hospital5,hgid,hgroup,code,hospital,hospital2,osm_wid,osm,lon,lat
21,Midwest,Ennis,EnnisHospi,6,University of Limerick Hospital Group,307,Ennis Hospital,"Mid-Western Regional Hospital, Ennis",,,-8.98328,52.85109
22,Midwest,Nenagh,NenaghHosp,6,University of Limerick Hospital Group,308,Nenagh Hospital,"Mid-Western Regional Hospital, Nenagh",,,-8.191,52.8577881
23,Midwest,Croom,CroomOrtho,6,University of Limerick Hospital Group,304,Croom Orthopaedic Hospital,"Mid-Western Regional Orthopaedic Hospital, Croom",,,-8.71139,52.527117
24,Midlands,Naas General,NaasGenera,3,Dublin Midlands Hospital Group,4,Naas General Hospital,Naas General Hospital,91506380,91506380,-6.66089,53.211388
25,Dublin North East,Lourdes Drogheda,OurLadyDrogh,4,RCSI Hospitals Group,701,Our Lady of Lourdes Hospital Drogheda,"Our Lady of Lourdes Hospital, Drogheda",,,-6.35392,53.7221584
26,Paediatrics,Children's Crumlin,OurLadyCrum,7,Children's Hospital Group,1,Our Lady's Children's Hospital Crumlin,"Our Lady's Children's Hospital, Crumlin",,,-6.31889,53.3261478
27,Dublin East,Our Lady's Navan,OurLadyNavan,2,Ireland East Hospital Group,705,Our Lady's Hospital Navan,"Our Lady's Hospital, Navan",,,-6.69748,53.6502026
28,North West,Portiuncla Hospital,Portiuncla,1,Saolta University Health Care Group,403,Portiuncla Hospital,Portiuncula Hospital,183750993,183750993,-8.23557,53.3271067
29,North West,Roscommon,RoscommonC,1,Saolta University Health Care Group,401,Roscommon County Hospital,Roscommon Hospital,196744297,196744297,-8.17541,53.6245107
30,Dublin East,Eye and Ear,RoyalVicto,2,Ireland East Hospital Group,24,Royal Victoria Eye and Ear Hospital,Royal Victoria Eye and Ear Hospital,,,-6.2557,53.3328326
31,North West,Sligo General,SligoGener,1,Saolta University Health Care Group,602,Sligo General Hospital,Sligo Regional Hospital,,,-8.464,54.2750308
32,South West,South Infirmary Victoria,SouthInfir,5,South/South West Hospital Group,206,South Infirmary Victoria University Hospital,South Infirmary - Victoria University Hospital,,,-8.46417,51.8935797
33,South West,South Tipperary General,SouthTippe,5,South/South West Hospital Group,105,South Tipperary General Hospital,South Tipperary General Hospital,,,-7.71574,52.355711
34,Dublin East,St. Columcille's,StColumci,2,Ireland East Hospital Group,3,St. Columcille's Hospital,St. Columcille's Hospital,,,-6.1329,53.242361
35,Midlands,St. James's ,StJamess,3,Dublin Midlands Hospital Group,21,St. James's Hospital,St. James's Hospital,,,-6.29577,53.3401298
36,Midwest,St. John's Limerick,StJohnsH,6,University of Limerick Hospital Group,305,St. John's Hospital Limerick,St. John's Hospital Limerick,,,-8.6168,52.6633523
37,Dublin East,St. Luke's Kilkenny,StLukesG,2,Ireland East Hospital Group,101,St. Luke's General Hospital Kilkenny,"St. Luke's General Hospital, Kilkenny",,,-7.26285,52.6664671
38,Dublin East,St. Vincent's University,StVincent,2,Ireland East Hospital Group,7,St. Vincent's University Hospital Elm Park,St. Vincent's University Hospital,,,-6.21262,53.3168507
39,Midlands,Tallaght Hospital,TallaghtHo,3,Dublin Midlands Hospital Group,41,Tallaght Hospital,Tallaght Hospital (AMNCH),,,-6.37887,53.2911892
40,South West,University Waterford,UniWaterford,5,South/South West Hospital Group,100,University Hospital Waterford,Waterford Regional Hospital,,,-7.07887,52.2489542
41,Dublin East,Wexford General,WexfordGen,2,Ireland East Hospital Group,103,Wexford General Hospital,Wexford General Hospital,,,-6.48187,52.3431683
420,,,,,,9,"Peamount Hospital, Newcastle",,,,,
42,Midwest,University Limerick,UniLimerick,6,University of Limerick Hospital Group,,University Hospital Limerick,University Hospital Limerick,45766917,45766917,-8.6529512,52.6362418
430,,,,,,15,"St. Luke's & St. Anne's Hospital, Dublin",,,,,
43,Dublin East,St. Michaels,StMichael,,,23,St. Michael's Dun Laoghaire,St. Michael's Dun Laoghaire,,,,
44,,,,,,26,"National Rehabilitation Hospital, (NHR), Dun Laoghaire",,,,,
45,,,,,,27,"St. Joseph's Unit, Harold's Cross",,,,,
46,,,,,,28,"Our Lady's Hospice, Harold's Cross, Dublin",,,,,
47,,,,,,35,"Cherry Orchard Hospital, Ballyfermot",,,,,
48,,,,,,38,"Coombe Women's Hospital, Dublin",,,,,
49,,,,,,39,"Rotunda Hospital, Dublin",,,,,
50,,,,,,40,"National Maternity Hospital, Holles St, Dublin",,,,,
51,,,,,,44,"St Joseph Hospital, Raheny",,,,,
52,,,,,,47,"Incorporated Orthopaedic Hospital, Clontarf",,,,,
53,,,,,,48,Blackrock Hospice,,,,,
54,,,,,,90,St Luke's Centre at St James,,,,,
55,,,,,,91,St Luke's Centre at Beaumont,,,,,
56,,,,,,200,"St. Finbarr's Hospital, Cork",,,,,
57,,,,,,208,"St. Mary's Orthopaedic Hospital, Gurrenabraher",,,,,
58,,,,,,302,Midwestern Regional Maternity Hospital Limerick,,,,,
59,,,,,,303,"Midwestern Regional Hospital, Dooradoyle",,,,,
60,,,,,,406,Ballina District Hospital,,,,,
61,,,,,,704,Monaghan General Hospital,,,,,
